Registro_ANS,CNPJ,Razao_Social,Nome_Fantasia,Modalidade,Logradouro,Numero,Complemento,Bairro,Cidade,UF,CEP,DDD,Telefone,Fax,Endereco_eletronico,Representante,Cargo_Representante,Regiao_de_Comercializacao,Data_Registro_ANS
419761,1.95419E+13,18 DE JULHO ADMINISTRADORA DE BENEFÍCIOS LTDA,,Administradora de Benefícios,RUA CAPITÃO MEDEIROS DE REZENDE,274,,PRAÇA DA BANDEIRA,Além Paraíba,MG,36660000,32,34624649,,contabilidade@cbnassessoria.com.br,LUIZ HENRIQUE MARENDINO GONÇALVES,SÓCIO ADMINISTRADOR,6,5/19/2015
421545,2.287E+13,2B ODONTOLOGIA OPERADORA DE PLANOS ODONTOLÓGICOS LTDA,,Odontologia de Grupo,RUA CATÃO,128,SALA 126,VILA ROMANA,São Paulo,SP,5049000,11,34415852,,labmarisol@gmail.com,MARISOL BECHELLI,SÓCIO ADMINISTRADORA,4,6/13/2019
421421,2.74525E+13,2CARE OPERADORA DE SAÚDE LTDA.,,Medicina de Grupo,RUA: BERNARDINO DE CAMPOS,230,1º ANDAR,CENTRO,Campinas,SP,13010151,19,37901224,,ans.plano@hospitalcare.com.br,RODRIGO PINHO RIBEIRO,REPRESENTANTE,5,10/9/2018
422908,4.17888E+13,3S ADMINISTRADORA DE BENEFICIOS LTDA,3S ADMINISTRADORA DE BENEFICIOS,Administradora de Benefícios,RUA ITÁLIA,33,SALA 6,JARDIM BONFIGLIOLI,Jundiaí,SP,13207280,11,42263247,,pietrorocchi37@gmail.com,ANAMELIA MONTEIRO GUERRA ROCCHI,SÓCIO ADMINISTRADOR,6,7/12/2021
418030,1.31389E+13,A.P.S. ADMINISTRADORA DE BENEFÍCOS LTDA.,A.P.S. SAÚDE.,Administradora de Benefícios,RUA VOLUNTÁRIOS DA PÁTRIA,2525,CONJUNTO 143 - SALA 01,SANTANA,São Paulo,SP,2401000,11,45223468,,diretoria@apssaude.com.br,PERCÍVEL GAETA,SóCIO-ADMINISTRADOR E REPRESEN,4,5/5/2011
314668,1.75058E+13,ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL,ABERTTA SAÚDE,Autogestão,AV. BERNARDO MONTEIRO,831,"Subsolo, 2º andar e 3º andar",SANTA EFIGÊNIA,Belo Horizonte,MG,30150281,31,32484300,32484377,abertta.ans@arcelormittal.com.br,RICARDO DUPIN LUSTOSA,Diretor Presidente,4,12/28/1998
419621,1.76875E+13,ABPLUS ADMINISTRADORA DE BENEFÍCIOS LTDA.,,Administradora de Benefícios,AVENIDA JOSÉ DA SILVA NETO,200,"BLOCO 4, SALA 403",BARRA DA TIJUCA,Rio de Janeiro,RJ,22775056,,,,contato@abplus.com.br,ROBERTO CARLOS MACHADO RODRIGUES,ADMINISTRADOR,6,11/13/2014
424242,5.62989E+13,ABRANGE ADMINISTRADORA DE BENEFICIOS LTDA.,ABRANGE SAÚDE,Administradora de Benefícios,RUA CEL. JOSÉ EUSEBIO,95.0,SALA 13,HIGIENOPOLIS,São Paulo,SP,1239030,11,920554400,,dayanasantos@abrangesaude.com.br,DAYANA DOS SANTOSDE BRITO FLORÊNCIO,ADMINISTRADORA,,1/6/2025
418901,1.04583E+13,AD SALUTE ADMINISTRADORA DE BENEFÍCIOS LTDA,AD SALUTE,Administradora de Benefícios,RUA BUENOS AIRES,68,SALA 2901,CENTRO,Rio de Janeiro,RJ,20070020,21,35531692,,LEONARDO@UNIMEDICASAUDE.COM,JOÃO CARMO DA SILVEIRA,ADMINISTRADOR,5,6/13/2013
421553,2.83158E+13,ADM LIFE - ADMINISTRADORA DE BENEFÍCIOS LTDA.,ADM LIFE,Administradora de Benefícios,AVENIDA PEDROSO DE MORAIS,272,CJ 96,PINHEIROS,São Paulo,SP,5420000,11,99475503,,cristiane@admlife.com.br,NELITO JÚNIOR DE ALMEIDA SILVA,Sócio Administrador,4,1/9/2019
416932,7.86783E+12,ADMSERV BENEFÍCIOS E SERVIÇOS LTDA,GÉIA ADMINISTRADORA DE BENEFICIOS,Administradora de Benefícios,Avenida Valdemar Ferreira,463,,Butantã,São Paulo,SP,5501000,11,36602000,36602000,sandra@geia.com.br,PEDRO OLIVEIRA OBLIZINER,SÓCIO ADMINISTRADOR,2,3/30/2009
